"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"88 years" "men" 169 111 213 197 197 135 161 194 293 80 202 203 255 204 230 228 259 150 285 350 337 364 363 392 412 438 399 456 224 280 526 513 536 476 443 492 527 402 682 699 678 597 704 815 863 804 878 886 970 1157 1202 1247 1153 1222 1259 1055 1119 1214 1198 1099 1301 1350 1403 1422 1294 1272 1246 1365 1392 1338 1405 1374 1467 1438 1314 1367 1407 1545 1536 1554 1403 1477 1584 1610 1597 1643 1863 1832 1938 1724 1895 1972 1933 1898 1980 1906 1669 2004 2077 2209 2250 2387 2524 2610 2664 2944 2916 2977 2889 2880 3032 3102 3449 3493 3643 3682 3555 3490 3654 3847 3800 4042 4080 4175 4583 4464 4649 4669 5005 5265 5488 5433 5796 5823 6303 6608 6774 7193 7315 7469 7504 7777 7919 7650 8089 8287 8377 8829 10690 10479 9895 10438 10092 10286 10277 10088 10679 10384 10883 11057 11115
"88 years" "women" 353 294 458 439 394 383 458 359 616 335 451 379 478 503 557 415 663 511 644 654 831 744 775 768 835 761 866 919 572 726 928 1023 916 899 872 1008 935 786 1189 1266 1124 1010 1206 1401 1422 1266 1445 1438 1523 1634 1798 1985 1764 1927 1871 1637 1724 1772 1915 1769 2023 2067 2002 2114 1978 2015 1873 1964 2076 1976 2115 2005 2103 2077 1817 1936 2082 2211 2007 2159 1966 2076 2392 2163 2243 2369 2521 2544 2607 2472 2695 2690 2734 2740 2841 2637 2452 2700 2858 3038 3021 3177 3326 3596 3716 4004 4025 4360 4285 4443 4634 5048 5609 5725 6098 6419 6432 6659 7075 7631 7780 8307 8460 9030 9366 9724 10121 10440 11344 11754 12441 12551 13227 13501 14182 14658 15269 15875 15814 16028 16771 16509 16659 16297 16633 17113 16904 17224 20976 20274 18703 18898 18798 18811 18484 18282 18545 17953 18589 18373 18079
"89 years" "men" 100 125 59 159 137 144 83 81 125 230 127 146 141 201 121 165 161 181 69 210 249 245 272 258 284 285 325 289 343 124 314 380 357 403 343 312 364 384 267 482 483 504 449 523 604 659 607 642 661 718 878 932 926 872 910 899 780 848 935 901 885 1008 972 1073 1092 995 983 909 1012 1046 1055 1017 1059 1106 1124 991 1035 1048 1172 1142 1174 1056 1166 1248 1230 1195 1280 1390 1458 1480 1312 1415 1530 1477 1497 1537 1463 1279 1562 1623 1669 1754 1809 1961 2054 2143 2410 2214 2342 2243 2291 2400 2498 2759 2797 2881 2917 2822 2796 2884 3048 3039 3233 3247 3361 3685 3577 3755 3742 4069 4196 4435 4446 4667 4815 5149 5431 5559 5884 5975 6161 6174 6375 6527 6324 6723 6923 7027 7391 8939 8818 8354 8741 8548 8794 8719 8725 9070 8853 9376 9392
"89 years" "women" 266 272 203 365 305 284 257 306 222 472 358 310 279 361 377 393 277 523 352 472 546 637 580 594 579 645 557 683 731 376 670 701 760 710 675 668 775 716 582 886 893 862 770 915 1060 1108 993 1113 1086 1173 1297 1402 1515 1366 1493 1415 1282 1357 1373 1502 1412 1602 1590 1594 1665 1558 1563 1376 1536 1578 1585 1544 1558 1620 1613 1416 1472 1596 1701 1509 1651 1473 1652 1930 1721 1771 1859 1928 2019 2051 1959 2069 2100 2133 2151 2264 2098 1898 2163 2311 2380 2402 2498 2683 2890 3090 3275 3201 3499 3500 3659 3896 4186 4673 4772 5078 5336 5402 5572 5982 6387 6562 6987 7178 7681 7913 8209 8646 8829 9717 9988 10662 10784 11323 11702 12252 12660 13196 13764 13607 13880 14554 14363 14474 14229 14545 14906 14677 15100 18433 17831 16495 16574 16531 16700 16390 16329 16422 15928 16642 16168
"90 years" "men" 117 56 85 188 185 282 289 226 164 155 282 267 285 296 326 276 280 268 283 163 148 430 471 499 501 490 505 545 560 614 592 597 638 656 721 703 660 699 744 636 757 868 931 981 988 1120 1271 1303 1312 1367 513 657 729 662 621 621 673 548 629 678 673 661 737 696 791 835 721 688 672 734 829 696 764 824 835 830 739 761 763 852 830 847 806 916 953 931 894 899 1035 1067 1115 952 1075 1183 1100 1131 1192 1091 975 1174 1193 1247 1327 1396 1522 1629 1719 1760 1682 1772 1766 1806 1855 1978 2126 2201 2249 2309 2217 2222 2260 2416 2409 2543 2552 2646 2900 2819 2934 2992 3229 3363 3544 3531 3779 3867 4099 4339 4430 4664 4845 4969 4945 5196 5344 5125 5448 5627 5722 6109 7368 7339 6850 7232 7109 7300 7267 7153 7537 7438 7679
"90 years" "women" 211 195 208 571 673 589 544 462 436 342 813 818 808 782 778 771 801 691 815 745 388 1168 1321 1376 1350 1322 1380 1345 1413 1497 1506 1509 1506 1608 1625 1644 1680 1798 1848 1599 1749 1925 2041 2081 2126 2318 2503 2435 2502 2628 895 1018 1051 1128 1044 1070 1078 935 1030 1040 1135 1048 1221 1238 1223 1233 1189 1167 1031 1145 1192 1128 1170 1181 1225 1185 1059 1118 1214 1273 1120 1226 1158 1333 1484 1337 1326 1368 1479 1483 1521 1466 1600 1641 1645 1652 1755 1612 1468 1714 1757 1864 1860 1939 2135 2334 2540 2517 2525 2809 2859 2954 3116 3463 3823 3948 4142 4434 4441 4566 4946 5244 5485 5825 5968 6413 6611 6922 7216 7450 8212 8412 8950 9033 9573 9954 10396 10803 11260 11667 11582 11811 12249 12242 12368 12202 12545 12822 12544 13011 15942 15405 14174 14372 14459 14551 14225 14240 14251 14012 14446
"91 years" "men" 50 86 30 250 250 250 250 250 250 250 296 296 296 296 296 296 0 0 0 0 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 355 370 450 513 468 405 434 476 401 435 493 497 470 526 502 575 627 495 494 474 549 557 500 571 581 573 614 514 568 526 595 585 626 595 688 698 660 627 673 776 784 787 680 777 862 819 837 868 795 708 881 882 924 962 1041 1160 1279 1234 1337 1280 1353 1366 1389 1429 1537 1627 1636 1722 1789 1687 1703 1762 1886 1859 1960 1951 2037 2227 2164 2273 2338 2466 2582 2723 2809 2971 3033 3224 3430 3493 3689 3741 3928 3954 4145 4252 4088 4351 4554 4623 4901 5920 5884 5548 5870 5808 5920 5903 5809 6188 5967
"91 years" "women" 129 154 140 287 287 287 287 287 287 287 338 338 338 338 338 338 0 0 0 0 238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 642 639 741 802 825 747 808 794 705 755 797 858 730 920 922 888 929 845 863 785 887 854 836 964 890 895 871 760 838 875 921 811 967 886 991 1098 969 950 1043 1115 1117 1097 1113 1231 1229 1279 1255 1339 1235 1102 1285 1376 1403 1403 1509 1731 1890 1852 1929 1980 2242 2300 2379 2489 2796 3089 3121 3344 3599 3642 3748 4017 4258 4471 4810 4778 5242 5461 5665 5886 6080 6713 6954 7347 7543 7968 8288 8649 9060 9365 9759 9652 9723 10290 10314 10428 10284 10564 10731 10669 10947 13544 13089 12023 12301 12362 12339 12151 12204 12343 11955
"92 years" "men" 26 33 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 207 257 247 312 347 313 272 291 319 280 320 344 355 322 356 343 431 432 332 331 395 338 394 381 408 379 380 411 374 381 355 372 439 455 430 487 481 456 447 464 559 519 559 496 567 599 585 596 618 555 534 648 652 658 701 808 881 864 862 990 938 1022 1018 1033 1064 1144 1183 1246 1294 1333 1244 1282 1342 1404 1402 1486 1473 1523 1675 1627 1729 1767 1867 1934 2072 2137 2232 2329 2439 2590 2653 2840 2864 2982 3067 3243 3309 3165 3405 3559 3625 3828 4667 4563 4450 4597 4633 4636 4720 4694 4780
"92 years" "women" 88 91 104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 433 446 473 532 600 578 561 572 554 494 588 580 607 529 672 683 660 631 613 644 593 592 607 598 711 642 635 603 532 578 597 638 592 719 619 739 780 692 724 756 805 818 783 823 916 910 932 908 1010 925 816 999 1019 1043 1064 1197 1379 1345 1402 1482 1575 1756 1783 1867 1953 2210 2413 2476 2663 2848 2845 3008 3226 3375 3584 3836 3822 4222 4328 4527 4711 4849 5409 5488 5970 6124 6452 6742 7113 7341 7627 7874 7829 7979 8521 8475 8544 8487 8643 8940 8822 9088 11211 10808 10043 10209 10356 10369 10212 10312 10306
"93 years" "men" 19 14 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 140 195 162 218 221 205 168 181 203 219 214 220 254 227 240 232 289 311 230 241 192 247 286 271 268 271 261 284 251 260 235 262 305 305 310 339 317 322 313 303 364 364 392 342 381 424 411 405 450 375 368 447 439 464 525 634 588 608 614 743 682 758 737 751 784 823 852 922 958 949 874 945 989 1044 1015 1117 1098 1098 1285 1215 1260 1316 1368 1461 1525 1579 1640 1709 1822 1907 1943 2095 2160 2247 2276 2434 2509 2358 2563 2737 2779 2914 3583 3514 3389 3534 3569 3598 3686 3576
"93 years" "women" 68 63 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 287 296 312 336 375 410 408 394 414 375 386 417 418 442 372 470 505 432 442 438 453 362 402 416 431 481 443 439 439 331 400 406 471 436 510 454 544 516 502 530 530 539 584 553 588 651 667 635 648 737 666 609 710 743 785 840 963 937 968 1082 1093 1201 1353 1366 1409 1550 1694 1856 1943 2061 2183 2197 2346 2516 2672 2781 3028 2984 3268 3454 3570 3734 3811 4222 4393 4707 4909 5121 5331 5619 5871 6037 6246 6219 6458 6822 6839 6780 6800 6984 7228 7101 7342 9142 8808 8161 8330 8452 8436 8433 8352
"94 years" "men" 19 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 101 99 131 103 135 155 124 100 109 155 145 134 142 170 156 169 143 187 212 188 135 110 191 182 180 177 178 175 172 165 168 161 169 212 217 189 219 218 202 198 183 245 230 270 238 273 285 276 275 291 261 244 294 309 325 400 342 410 408 463 540 482 553 526 509 522 587 632 655 690 669 614 697 718 725 751 782 806 780 961 898 910 924 987 1048 1119 1141 1182 1212 1325 1395 1353 1535 1582 1592 1712 1738 1833 1709 1897 2033 2053 2156 2705 2661 2515 2667 2683 2734 2684
"94 years" "women" 35 49 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 217 204 200 207 202 259 287 284 271 270 279 273 296 305 304 247 317 335 310 300 320 289 248 299 299 279 302 300 306 278 220 272 288 327 307 346 284 356 347 338 370 359 378 389 386 408 458 472 444 453 512 477 431 495 526 614 654 645 688 699 817 822 870 1036 1040 1019 1161 1285 1437 1458 1577 1667 1657 1795 1959 2062 2138 2324 2259 2497 2606 2737 2855 2864 3316 3419 3637 3832 3963 4107 4368 4518 4621 4865 4888 5097 5386 5323 5352 5284 5445 5721 5491 5829 7258 6975 6445 6580 6797 6804 6631
"95 years" "men" 274 282 274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 134 136 145 166 157 171 195 185 154 74 220 216 207 210 244 260 250 251 263 141 286 251 295 319 99 269 259 272 239 116 291 315 343 334 125 382 323 350 343 110 333 338 369 374 426 423 427 452 456 448 477 450 425 465 546 652 555 238 291 284 331 349 343 379 343 335 360 412 455 443 491 474 418 499 481 505 529 542 559 561 657 643 639 657 700 731 790 833 840 847 935 986 973 1108 1110 1144 1216 1269 1293 1232 1363 1437 1461 1598 1955 1945 1802 1936 1956 1940
"95 years" "women" 353 345 352 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 123 333 329 356 361 325 397 440 478 476 183 457 432 472 483 515 504 527 567 583 206 492 496 523 515 201 474 488 520 526 193 491 525 563 604 207 688 556 600 600 209 606 648 655 652 694 746 760 806 796 863 923 944 923 970 1088 1269 1185 458 483 496 616 572 637 754 762 702 847 972 1072 1074 1144 1265 1263 1380 1451 1544 1606 1727 1707 1867 1939 2012 2088 2163 2508 2544 2725 2910 3022 3122 3348 3400 3509 3686 3751 3841 4090 4081 4124 4044 4163 4342 4255 4510 5612 5424 4947 5070 5361 5195
"96 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 76 0 0 0 0 76 0 0 0 0 58 0 0 0 0 67 0 0 0 0 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 161 162 191 192 203 241 231 256 216 223 240 281 313 311 332 332 281 336 335 360 356 394 377 372 433 418 433 442 470 492 546 556 539 569 628 666 675 760 786 754 822 878 910 849 941 1003 1019 1110 1353 1327 1287 1372 1349
"96 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 122 0 0 0 0 0 0 0 0 0 124 0 0 0 0 130 0 0 0 0 131 0 0 0 0 148 0 0 0 0 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 300 327 353 349 411 416 468 547 543 515 624 707 775 764 839 915 909 976 1051 1115 1125 1260 1227 1366 1400 1456 1544 1587 1819 1841 2013 2157 2196 2316 2415 2478 2603 2761 2738 2810 2994 3058 3090 2996 3067 3219 3219 3375 4191 4073 3696 3869 4012
"97 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 34 0 0 0 0 33 0 0 0 0 49 0 0 0 0 47 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 99 111 120 124 139 158 158 181 133 142 147 195 202 203 209 222 192 233 214 239 248 266 255 244 270 268 288 301 299 333 363 367 333 357 391 454 450 496 548 514 550 579 615 549 632 700 695 713 929 899 917 912
"97 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 89 0 0 0 0 72 0 0 0 0 86 0 0 0 0 88 0 0 0 0 105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 190 208 220 249 233 275 293 324 369 377 361 449 478 541 558 586 639 642 705 757 767 790 872 873 931 954 1034 1121 1110 1259 1338 1418 1541 1575 1599 1717 1773 1895 1979 1941 2021 2172 2237 2277 2136 2211 2327 2321 2457 3039 2974 2738 2798
"98 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 20 0 0 0 0 30 0 0 0 0 26 0 0 0 0 29 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 50 66 72 77 82 92 95 107 120 80 92 98 118 124 140 146 149 120 133 131 145 151 164 155 163 162 171 175 181 189 214 233 230 209 227 259 298 304 317 360 328 363 388 398 337 417 450 463 444 608 583 574
"98 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 51 0 0 0 0 46 0 0 0 0 58 0 0 0 0 49 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115 121 148 149 169 165 171 201 216 263 276 247 315 319 376 379 411 453 443 476 497 536 544 596 618 641 675 727 781 755 870 911 961 1060 1070 1092 1197 1221 1330 1338 1332 1404 1542 1551 1570 1461 1548 1620 1602 1688 2116 2126 1941
"99 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 18 0 0 0 0 10 0 0 0 0 25 0 0 0 0 21 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 30 38 44 38 49 41 62 50 68 81 50 56 54 71 76 86 88 93 78 84 83 87 101 104 89 110 104 108 105 117 121 128 145 144 136 130 165 178 188 207 214 208 231 246 265 207 256 297 288 264 377 357
"99 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 25 0 0 0 0 24 0 0 0 0 39 0 0 0 0 23 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 74 75 101 97 112 108 108 133 139 158 177 158 209 222 260 265 272 304 315 312 329 363 363 409 389 444 456 491 493 523 560 618 659 717 703 745 801 805 902 885 873 967 1049 1035 1036 981 1060 1129 1043 1139 1477 1413
"100 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 17 0 0 0 0 17 0 0 0 0 10 0 0 0 0 9 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 33 38 43 43 49 61 59 58 68 86 99 72 79 66 81 87 95 101 125 118 117 130 119 128 138 131 142 133 141 138 147 78 70 83 94 75 91 98 105 108 118 119 131 127 149 162 123 160 162 179 171 218
"100 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 46 0 0 0 0 31 0 0 0 0 25 0 0 0 0 43 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 78 89 99 112 124 151 149 162 194 202 214 248 265 313 330 367 382 419 454 446 466 480 503 531 557 585 656 660 736 770 769 374 389 431 471 455 492 515 509 580 583 583 638 701 652 690 617 721 745 675 783 953
"101 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 41 42 46 59 39 57 53 58 68 59 68 74 69 83 105 66 101 94 108 93
"101 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 199 221 243 244 301 271 299 330 314 384 357 372 397 428 405 408 394 444 453 421 483
"102 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 28 21 26 33 34 23 33 33 36 38 35 30 44 40 50 60 31 46 49 61
"102 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 120 129 137 153 176 154 178 192 198 245 195 213 239 247 233 239 253 268 291 261
"103 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 7 13 10 16 27 21 9 19 14 18 24 19 15 16 21 23 39 17 29 21
"103 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 74 70 74 87 87 104 92 102 104 120 150 101 130 142 159 127 134 142 164 165
"104 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 4 7 4 9 16 16 2 7 6 10 13 10 8 8 13 7 18 8 13
"104 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 34 46 39 46 56 48 63 55 56 53 76 69 55 74 80 80 62 79 83 85
"105 years" "men" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 3 3 2 2 7 8 0 3 5 8 5 3 2 6 5 4 8 2
"105 years" "women" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 23 17 28 19 34 35 27 33 30 26 33 43 36 29 51 45 49 34 39 47
